id,body,picture,actor,time,class,experiment_group
537,Dinner with a client yesterday. Anybody knows what cuisine this is?,IMG_20161213_213224.jpg,TimBJenkins,375:14,normal,var5
538,Japanese-style fries with mayo and bonito flakes. Real good!,180221-5.JPG,BeardedMatt,389:22,normal,var6
539,"🌮🌮🌮Taco festival at the fairgrounds! ",180221-8.JPG,MedicalRyan,-20:33,normal,var7
540,Egg Benidict for brunch on this Sunny but windy day. Iced coffee was... let's just say I can make better ones at home. Haha.,180221-24.JPG,Lisa181818,15:15,normal,var8
541,#tbt to last year when I was in Chicago having #ChicagoBagelAuthority,180221-17.JPG,this_jack,370:00,normal,var5
542,Cupcake alert at my office today. :D #TeamMicrosoft,180221-15.JPG,PatelS,-01:55,normal,var6
543,"Ramen. ",180221-16.JPG,DonDonDonna,352:00,normal,var7
544,"Visited my brother at Cornell University today and they have their own hotel called ""The Statler"" and it has some amazing curry over rice for $7",180221-3.JPG,EmmaSmith0214,15:15,normal,var8
545,"Hanging out with the bitches today. ",180221-4.JPG,B.Mike,20:20,normal,var5
546,The Boil specialized in cajun in NYC. Looks good to me!,180221-20.JPG,BeardedMatt,-32:44,normal,var6
547,"When you wanna be a doc but food is too good and you get fat. ",180221-9.JPG,MedicalRyan,-76:33,normal,var7
548,More egg benidict :D #ExcuseMyLaptopWatchingModernFamily,180221-22.JPG,Lisa181818,354:23,normal,var8
549,Don't tell Samantha. lol,180221-12.JPG,this_jack,01:10,normal,var5
550,"Good but, thanks but no thanks...",180221-19.JPG,PatelS,-15:55,normal,var6
551,"Old-fashioned Arkansas chocolate gravy and discuits, only I can undersatnd. #LoveMyMikeyhubbby",180222-01.jpg,DonDonDonna,-00:23,normal,var7
552,"<3 Last year in Manchester, UK",180221-18.JPG,EmmaSmith0214,00:50,normal,var8
553,"They said post food stuff, so here's a GOOOOOOOOOOD food pic. #foodporn #asian360",180221-11.JPG,B.Mike,-33:00,normal,var5
554,Must cop 🔥,0222-09.png,jiruletheworld,02:10,normal,var6
555,"We tried something different this time for our monthly barbecue. It's KEBABs! We went out to fetch some lambs, instead of beef and they taste great. Come thru!",0222-10.png,jiruletheworld,-16:31,normal,var7
556,You are what you eat.,0222-11.png,jiruletheworld,19:22,normal,var8
557,"I got up early, so I cooked myself a breakfast. It wasn't half bad as I imagined it to be!",0222-12.png,jiruletheworld,-40:23,normal,var5
558,These calzones were so good. I had to take a picture of it.,IMG_0490.png,ayoitsayo,-05:45,normal,var6
559,Fried rice with blueberries and blue table!  🔵 🔵 🔵,0222-14.png,ayoitsayo,363:21,normal,var7
560,Where my chili fam at! 🌶,0222-16.png,ayoitsayo,382:32,normal,var8
561,It's pizza time.,0222-17.png,ayoitsayo,-35:18,normal,var5
562,Sushis are the best.,0222-20.png,sweetietooth,14:23,normal,var6
563,So what? It's my cheat day.,0222-21.png,sweetietooth,352:16,normal,var7
564,What would I do without you...,0222-22.png,sweetietooth,379:10,normal,var8
565,Mornings at its finest,0222-23.png,sweetietooth,-10:15,normal,var5
566,The new sushi place downtown is AMAZING! They do wine-pairings too. I feel like I'll be coming in here more than I should.,0222-13.png,dana84,-23:00,normal,var6
567,"I got these intense cravings for Thai food, so I got it! These padseeyus are the only things in life that never seem to disappoint me.",0222-15.png,dana84,08:03,normal,var7
568,Sean had a pleasant surprise for me by cooking dinner for our anniversary! I'm so blessed to have this great cook in my life.,0222-18.png,dana84,357:39,normal,var8
569,"I'm not a fan of Sicily Italian pizzas, but Sean's is different!",0222-19.png,dana84,376:23,normal,var5
570,Some fine wine and dine. 🍷🍷,0222-08.png,lucyinurdreams,-21:11,normal,var6
571,"Classy night out. Man, these turkeys are 🔥🔥🔥",IMG_0814.jpg,lucyinurdreams,02:24,normal,var7
572,"Sunday brunch with the fam! I like my bacons little more toastier, but these pancakes were the bombs! 💣💣",Screen Shot 2018-02-23 at 12.10.59 AM.png,lucyinurdreams,30:21,normal,var8
573,Aren't they adorable?! I just had to get 'em after giving it a glance! They taste nothing like I've tasted before too.,IMG_0468.jpg,lucyinurdreams,365:30,normal,var5
574,I made some homemade chips!,0222-07.png,chefricky,-14:34,normal,var6
575,Vegetables and fruits should be essential part of our diet. We eat too much meat and not enough veggies. Make sure to add beans and broccolis to your diet.,0222-06.png,chefricky,14:28,normal,var7
576,"I tried baking breads for the first time, and overcooked my first batch. But, nothing cannot be fixed with some butter and peanut butter jelly!",0222-05.png,chefricky,29:21,normal,var8
577,"My first homemade half hawaiian, half meatlover's pizza was cooked to perfection. Barb loved it too.",0222-04.png,chefricky,368:33,normal,var5
578,"It was a sleepless night, so I treated myself with some insomnias.",IMG_0738.jpg,clayton.myers,09:21,normal,var6
579,Nothing can beat two cheese burgers.,IMG_0599.jpg,clayton.myers,26:05,normal,var7
580,If it isn't my favorite Papa Johnnys'!,IMG_0649.jpg,clayton.myers,371:10,normal,var8
581,"The stove wasn't doing any good left alone, so I gave it some FAT companies.",0222-03.png,clayton.myers,382:21,normal,var5
582,Coming back home is the best. I can have Mama Lee's japchae!,0222-02.png,aleeboi,-14:02,normal,var6
583,Having the best dessert with my sis!,0222-01.png,aleeboi,13:01,normal,var7
584,"Homemade kimchi-jjigae made to perfection! ",IMG_0701.jpg,aleeboi,26:08,normal,var8
585,"Today was a rough day, but I have my dakdoritang to cheer me up.",IMG_0717.jpg,aleeboi,361:04,normal,var5
586,Just tried this Nigerian Beef Stew and it tastes awesome!! Here's the recipe I found online: https://tasty.co/recipe/nigerian-beef-stew,Gulas.JPG,masterchefterry,02:03,normal,var6
587,My daughter bought this cake and said she doesn't believe I can make one. Honestly there's instructions all over the internet...,chocolate-cake-with-whipped-cream.jpg,masterchefterry,04:18,normal,var7
588,https://tasty.co/recipe/stir-fry-inspired-by-migos This seems to be an easy way to cook stir fry... changed it a bit and still good!!,Stir Fry.jpg,masterchefterry,354:46,normal,var8
589,Everytime my kid buys bottled water like this I can't help but think about how much flouride is in there and how it's gonna kill us all!! Why wouldn't my kids just listen to me??,Ice_Mountain_jk.jpg,fgonzalez,-05:12,normal,var5
590,Every parent who takes their children to KFC is evil!! don't they know that KFC grows mutant chicken??,KFC.jpg,fgonzalez,01:48,normal,var6
591,Found this online today... SO TRUE,Organic.jpg,fgonzalez,08:24,normal,var7
592,Look how happy and cute my anne is awwww,Catfood.jpeg,mewranda,05:56,normal,var8
593,only coffee and cinnamon roll can save me from this depressing mood now...,coffee.jpg,gwenfromtheblock,12:23,normal,var5
594,or I guess some nice wine can do that as well... #dreaming,Wine.jpg,gwenfromtheblock,13:00,normal,var6
595,this reminded me of you @ryanfitzs,meme2.jpg,SnakeCharmer,-02:22,normal,var7
596,last one I swear....had to post it for the city of brotherly love,meme3.jpg,SnakeCharmer,365:32,normal,var8
597,The more you know,meme4.jpg,earthpulse,12:10,normal,var5
598," me when I walk into Earl's Buffet tonight",meme5.jpg,B.Mike,21:10,normal,var6
599,lololol me when I get home and mom hasn't starting cooking yet,meme6.png,southerngirlCel,378:31,normal,var7
600,Salad for lunch. #AccidentallyPutTooMuchDressing and cost me $15 :(,180228-0.JPG,Lisa181818,18:18,normal,var8
601,BF said he's coming over tonight... so... here's my lunch.,180228-6.JPG,B.Mike,-15:55,normal,var5
602,Still prefer vanilla better. #Workout #Protein #GayAtGym,180228-9.jpeg,B.Mike,370:10,normal,var6
603,"My morning green goodie: Baby spinich, aloe vera jelly, 1-1.5 banana depending on size, 1 cup of water, 1/2 stock of celery",180228-2.jpg,Lisa181818,-20:23,normal,var7
604,Chug chug chug with Fiona. #NoIrishTemper,180228-10.jpeg,B.Mike,24:33,normal,var8
605,good morning baltimore!,180228-12.jpeg,B.Mike,388:11,normal,var5
613,this is my daily post,IMG_20170125_175750.jpg,mateoV,-06:45,normal,var5
614,this is my daily post,IMG_20120106_201555.jpg,mateoV,30:15,normal,var6
615,this is my daily post,20130907_233814649_iOS.jpg,mateoV,370:00,normal,var7
616,strongly recommend this raspberry tart @ Copatelli's,krzysztof-113.jpeg,M.Kapadia92,06:40,normal,var6
617,look at what my bro got in england lol,IMG_20160928_124145.jpg,localewis,370:12,victim,var6
618,forgot to post a pic of the CUTEST bear  🐻 bread (cake?) from the bakery earlier! has anyone had anything like this before? What's it like?,IMG_20131124_181633.jpg,casssssssssie,05:44,normal,var6
619,I didn't manage to get great light for this photo but this lobster tail and artichoke with potato casserole were to die for. Just a little melted butter and... mmmm!  The kids don't love artichoke so they got broccoli instead.,IMAG0055.jpg,livelaughlove,-16:27,normal,var6
620,I wish i lived where this bagel place is. this thing was amazing,IMG_20170415_095155.jpg,NoahM1121,07:32,normal,var6
621,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,normal,var6
622,this was thai chile wings from yesterday. there were not enough but they were good,IMG_20170404_182054.jpg,cavsforever,28:45,victim,var6
623,"everyone... these are CHOCOLATE MOOSES. They are literally made of chocolate. You can't see it but there's a little baby chocolate moose behind them. ",IMG_20150411_132000.jpg,jackrussellmom,-25:09,victim,var6
624,"This bad boy was in the back of the freezer from last christmas. I'm kind of shocked it wasn't all eaten, but the ""green icing swirl"" might be a clue as to why.",20131203_010020000_iOS.jpg,john73,-26:13,normal,var6
625,"I think this was technically a yorkshire pudding? The gravy was great though, and as you can see there was a lot of it!",IMAG0023.jpg,john73,-03:14,victim,var6
626,raw avocado and mushroom salad <3 <3  It requires a lot of slicing but it's sooooo worth it!,vegan7.jpg,bblueberryy,386:29,victim,var6
627,"honestly red velvet cake just tastes like cake, but this tastes like red velvet cake. I know that makes no sense but if you try it you'll get it!!",20131004_203557000_iOS.jpg,jupiterpride,359:40,victim,var6
628,strongly recommend this raspberry tart @ Copatelli's,krzysztof-113.jpeg,M.Kapadia92,06:40,normal,var7
629,look at what my bro got in england lol,IMG_20160928_124145.jpg,localewis,370:12,victim,var7
630,forgot to post a pic of the CUTEST bear  🐻 bread (cake?) from the bakery earlier! has anyone had anything like this before? What's it like?,IMG_20131124_181633.jpg,casssssssssie,05:44,normal,var7
631,I didn't manage to get great light for this photo but this lobster tail and artichoke with potato casserole were to die for. Just a little melted butter and... mmmm!  The kids don't love artichoke so they got broccoli instead.,IMAG0055.jpg,livelaughlove,-16:27,normal,var7
632,I wish i lived where this bagel place is. this thing was amazing,IMG_20170415_095155.jpg,NoahM1121,07:32,normal,var7
633,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,normal,var7
634,this was thai chile wings from yesterday. there were not enough but they were good,IMG_20170404_182054.jpg,cavsforever,28:45,victim,var7
635,"everyone... these are CHOCOLATE MOOSES. They are literally made of chocolate. You can't see it but there's a little baby chocolate moose behind them. ",IMG_20150411_132000.jpg,jackrussellmom,-25:09,victim,var7
636,"This bad boy was in the back of the freezer from last christmas. I'm kind of shocked it wasn't all eaten, but the ""green icing swirl"" might be a clue as to why.",20131203_010020000_iOS.jpg,john73,-26:13,normal,var7
637,"I think this was technically a yorkshire pudding? The gravy was great though, and as you can see there was a lot of it!",IMAG0023.jpg,john73,-03:14,victim,var7
638,raw avocado and mushroom salad <3 <3  It requires a lot of slicing but it's sooooo worth it!,vegan7.jpg,bblueberryy,386:29,victim,var7
639,"honestly red velvet cake just tastes like cake, but this tastes like red velvet cake. I know that makes no sense but if you try it you'll get it!!",20131004_203557000_iOS.jpg,jupiterpride,359:40,victim,var7
640,strongly recommend this raspberry tart @ Copatelli's,krzysztof-113.jpeg,M.Kapadia92,06:40,normal,var8
641,look at what my bro got in england lol,IMG_20160928_124145.jpg,localewis,370:12,victim,var8
642,forgot to post a pic of the CUTEST bear  🐻 bread (cake?) from the bakery earlier! has anyone had anything like this before? What's it like?,IMG_20131124_181633.jpg,casssssssssie,05:44,normal,var8
643,I didn't manage to get great light for this photo but this lobster tail and artichoke with potato casserole were to die for. Just a little melted butter and... mmmm!  The kids don't love artichoke so they got broccoli instead.,IMAG0055.jpg,livelaughlove,-16:27,normal,var8
644,I wish i lived where this bagel place is. this thing was amazing,IMG_20170415_095155.jpg,NoahM1121,07:32,normal,var8
645,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,normal,var8
646,this was thai chile wings from yesterday. there were not enough but they were good,IMG_20170404_182054.jpg,cavsforever,28:45,victim,var8
647,"everyone... these are CHOCOLATE MOOSES. They are literally made of chocolate. You can't see it but there's a little baby chocolate moose behind them. ",IMG_20150411_132000.jpg,jackrussellmom,-25:09,victim,var8
648,"This bad boy was in the back of the freezer from last christmas. I'm kind of shocked it wasn't all eaten, but the ""green icing swirl"" might be a clue as to why.",20131203_010020000_iOS.jpg,john73,-26:13,normal,var8
649,"I think this was technically a yorkshire pudding? The gravy was great though, and as you can see there was a lot of it!",IMAG0023.jpg,john73,-03:14,victim,var8
650,raw avocado and mushroom salad <3 <3  It requires a lot of slicing but it's sooooo worth it!,vegan7.jpg,bblueberryy,386:29,victim,var8
651,"honestly red velvet cake just tastes like cake, but this tastes like red velvet cake. I know that makes no sense but if you try it you'll get it!!",20131004_203557000_iOS.jpg,jupiterpride,359:40,victim,var8
652,The spiralizer got some use for brunch today! #cleaneating #veggielife,20170212_152905108_iOS.jpg,coachmatthews,-20:35,cohort,var9
653,GORGEOUS spread at Saigon House for my sister's b-day dinner!,IMAG0003.jpg,coachmatthews,-11:13,cohort,var10
654,"These tilapia fillets are CRAZY easy and super healthy! Just a sprinkle of dried dill, a squeeze of lemon, and 15 minutes in the oven!",IMG_20170105_192151.jpg,coachmatthews,-00:45,cohort,var11
655,When the light on the porch is so perfect it makes your leftovers look gourmet...,james-harris-228578.jpeg,coachmatthews,03:16,cohort,var12
656,Mr. Matthews got me this hanger for my bananas... It's only been a day but I think they're already less beat-up than they would normally be!  Three cheers for modern technology.,IMG_0440.JPG,coachmatthews,07:00,cohort,var9
657,Woke up late and only had time to grab one of these for breakfast. Can you say accidental splurge?,20130726_145708000_iOS.jpg,coachmatthews,24:04,cohort,var10
658,One of the moms from my K-2 class made these adorable pig cookies! How cute are they?!,20131118_154942000_iOS.jpg,coachmatthews,27:17,cohort,var11
659,"""pizza"" on zucchini slices is actually amazing! Love these easy low carb dinners.",20130721_000546845_iOS.jpg,coachmatthews,29:20,cohort,var12
660,"can you believe how beautiful these farmer's market apples are? There are actually four or five different kinds here but I totally forget what they're called. ",IMG_20141011_103027.jpg,coachmatthews,369:45,cohort,var9
661,"This amazing vegan goddess bowl (is it still a bowl if it's in styrofoam? haha) that I got at the farmer's market has like ten different things in it - mushrooms, kale, cilantro, peanuts, cabbage, seitan... I wish I remembered them all so I could make it at home!",IMG_20140501_112920.jpg,coachmatthews,372:44,cohort,var10
662,nice layers,eaters-collective-172257.jpeg,M.Kapadia92,-22:40,cohort,var11
663,sprinkle and dot,IMG_1317.JPG,M.Kapadia92,-19:20,cohort,var12
664,a flaky feast,kowalewski-4.jpeg,M.Kapadia92,-16:59,cohort,var9
665,nice light for lettuce,krzysztof-112.jpeg,M.Kapadia92,04:00,cohort,var10
666,strongly recommend this raspberry tart @ Copatelli's,krzysztof-113.jpeg,M.Kapadia92,06:40,victim,var9
667,perfect baguette,petradr-748.jpeg,M.Kapadia92,09:20,cohort,var12
668,working breakfast,zach-miles-229108.jpeg,M.Kapadia92,19:20,cohort,var9
669,swordfish n broccoli rabe,alex-munsell-18756.jpeg,M.Kapadia92,22:45,cohort,var10
670,mom's favorite,toa-heftiba-88630.jpeg,M.Kapadia92,356:10,cohort,var11
671,great fry presentation @ Avanti on 8th av,stephanie-mccabe-92136.jpeg,M.Kapadia92,359:25,cohort,var12
672,hidden strawberry 🍓,kowalewski-8.jpeg,M.Kapadia92,376:34,cohort,var9
673,light lunch,krzysztof-98.jpeg,M.Kapadia92,380:00,cohort,var10
674,"extra cinnamon on my chai, please! <3 ☕",102_1402.JPG,ancho-n-cayenne,-24:30,cohort,var11
675,the fries were so-so but the pulled pork & fried onion sandwich was stellar!,brandon-morgan-19496.jpeg,ancho-n-cayenne,-20:41,cohort,var12
676,zesty greek chickpea salad!,IMG_0552.JPG,ancho-n-cayenne,-01:40,cohort,var9
677,This ragout was so rich and meaty!,IMG_0315.jpg,ancho-n-cayenne,02:45,cohort,var10
678,loved this spicy bratwurst lunch!,IMG_20170404_182858.jpg,ancho-n-cayenne,25:39,cohort,var11
679,the filters on this chai are egregious but it was sooooooooooooo good!,kowalewski-5.jpeg,ancho-n-cayenne,29:55,cohort,var12
680,spicy breakfast hash <33333,IMG_20170513_105531.jpg,ancho-n-cayenne,358:41,cohort,var9
681,pretty good Thai pork! could have used more chiles but I'm still a fan.,IMG_20170527_192058.jpg,ancho-n-cayenne,360:04,cohort,var10
682,"it doesn't look like it, but this ramen was amazingly spicy! I think they also added some saffron to the broth too, there was something unusual in there... 🍜 ❤️",matthew-hamilton-160833.jpeg,ancho-n-cayenne,379:03,cohort,var11
683,pro tip: alternate between garlic parm n spicy buffalo for a life-changing taste sensation,IMG_20170602_173837.jpg,localewis,-09:08,cohort,var12
684,staying up til 3 to close the bar? this is what u need.,IMG_20170220_075706.jpg,localewis,-04:09,cohort,var9
685,pancakes... my mom would be so proud lol,IMG_20170216_213349.jpg,localewis,11:14,cohort,var10
686,real cheeseburger or imposter? u guys decide,IMG_20160711_220819.jpg,localewis,19:02,cohort,var11
687,ya boy made spaghetti! looks like hair haha,IMG_20170107_172633.jpg,localewis,358:10,cohort,var12
688,that pasta from before all cooked up n ready for sauce,IMG_20161230_213314.jpg,localewis,359:11,cohort,var9
689,look at what my bro got in england lol,IMG_20160928_124145.jpg,localewis,370:12,normal,var9
690,"forgot to show the pics yesterday but when i made spaghetti i also made lasagna noodles, check out this cheese monster haha",IMG_20161231_215927.jpg,localewis,373:13,cohort,var11
691,every sandwich is better with fries in it lol,IMG_20160725_141010.jpg,localewis,-18:04,cohort,var12
692,chunky or creamy? im a chunky man myself,IMG_20160702_153102.jpg,localewis,378:30,cohort,var9
693,"I finally got around to trying to make chicken parm, you guys! ",IMG_20170204_225840.jpg,casssssssssie,-20:11,cohort,var10
694,homemade spaghetti with that chicken parm i just posted! #pastaweek #yum,IMG_20170204_225828.jpg,casssssssssie,-12:40,cohort,var11
695,"Look at these freaking adorable hand pies!! I really want to know what's in them, there was no sign on the display!",IMG_20131025_104912.jpg,casssssssssie,-10:25,cohort,var12
697,next up: ravioli!! just a ricotta/parmesan blend inside but I'm definitely branching out next time. Spinach? Butternut squash? Any other good ideas? #pastaweek #ravioli #yum,IMG_20170128_184927.jpg,casssssssssie,11:41,cohort,var9
700,taking a break from #pastaweek for some crab rangoons... made with leftover pasta dough!! :D,IMG_20170129_131732.jpg,casssssssssie,25:42,cohort,var10
702,I love that they also serve coffee on the adorable vintage china!!,IMG_4416.JPG,casssssssssie,358:43,cohort,var11
703,"so freaking excited for this #pastaweek creation... sausage, peppers & cream sauce!",IMG_20170423_172105.jpg,casssssssssie,368:14,cohort,var12
705,forgot to post a pic of the CUTEST bear  🐻 bread (cake?) from the bakery earlier! has anyone had anything like this before? What's it like?,IMG_20131124_181633.jpg,casssssssssie,05:44,victim,var9
708,BREAD BOWLS! These ones got some creamy chicken and veggie soup. #breadbowls #yum,IMG_20170326_184102.jpg,casssssssssie,386:44,cohort,var10
709,"when your pizza gets squished on the way... don't worry, the garlic sauce was still intact! 🍕",IMG_4490.JPG,tastyrobot,-12:01,normal,var11
710,donuts for lunch 🍩 🍩 🍩,20131220_202240000_iOS.jpg,tastyrobot,12:02,normal,var12
711,can you believe this popsicle! anyway I thought it was going to be strawberry but it was actually bubblegum 😞,IMG_20130802_220459.jpg,tastyrobot,356:03,normal,var9
712,sad desk lunch? Just put it on a fancy plate! 😂,IMG_20141116_112139.jpg,tastyrobot,380:04,normal,var10
713,"desk coffee counts as food, right? ",IMG_5107.JPG,ria_camiii,-13:15,normal,var11
714,homemade popsicle! this one is lemonade with cucumber. #refreshing,IMG_20160528_142024253.jpg,ria_camiii,11:16,normal,var12
715,A first for me: cake with marshmallow cream frosting. The cake is somewhat less sweet to offset the sweetness of the icing. Definitely trying this one myself!,IMG_1240.JPG,ria_camiii,355:17,normal,var9
716,andother #homemade popsicle! this one is blueberry and cream. I need classier popsicle holders though... you can tell these are made for little kids...,IMG_20160604_170347434.jpg,ria_camiii,379:18,normal,var10
717,"sweet peppers and three different kinds of sausage: chorizo, bratwurst, blood sausage. I did not take ap icture of it when it was cooked but the blood sausage tastes almost like a hot dog only it has a crumbly texture inside",1438450869408.jpg,SnakeCharmer,-14:19,normal,var11
718,"when you want ramen 🍜 but you only have plain spaghetti you can add a small amount of baking soda to the pasta cooking water to give it the chewy texture that ramen has. this batch has beef, mushrooms, green onion, and bok choy. make sure to rinse the pasta thoroughly or it tastes bad.",20131102_235435945_iOS.jpg,SnakeCharmer,10:20,normal,var12
719,this said it was beer-battered fish and chips but I think it was just regular batter. I have made beer batter before and I could taste the beer then and I could not taste the beer flavor in this. but it was still good.,IMAG0038.jpg,SnakeCharmer,354:21,normal,var9
720,today I m braising these ribs. they are in a reduction with white wine and onions and garlic and some herbs. last time i made these they became not as soft as i wanted but im going to cook them at lower temperature this time and hope it comes out better,image-20170112_164632.jpg,SnakeCharmer,378:22,normal,var10
721,#breadoftheday: challah!,IMG_20170114_213521.jpg,breethebaker,-15:23,normal,var11
722,#breadoftheday: a rustic loaf that fell a little flat. It will make great crusty sandwiches though!,IMG_20170204_155808.jpg,breethebaker,09:24,normal,var12
723,no bread today... but I did make funeral potatoes! #potluck,20131212_011016090_iOS.jpg,breethebaker,353:25,normal,var9
724,#breadoftheday: sourdough! I was amazed how well this held together. It's going to make amazing sandwiches!,IMG_20170218_205147.jpg,breethebaker,377:26,normal,var10
725,I didn't manage to get great light for this photo but this lobster tail and artichoke with potato casserole were to die for. Just a little melted butter and... mmmm!  The kids don't love artichoke so they got broccoli instead.,IMAG0055.jpg,livelaughlove,-16:27,victim,var9
726,"A few weeks ago I saw a pinterest post that basically said ""the only thing stopping you from dipping everything in chocolate is your own imagination"". I never thought of it that way before! So of course I had to try dipping some ice cream sandwiches. They only lasted about 30 seconds after I took this picture!",IMAG0065.jpg,livelaughlove,08:28,normal,var12
727,"I've been trying to keep everyone's plates at least 1/3 green.  Hubby and I are enjoying it- the kids not so much. ",IMAG0086.jpg,livelaughlove,352:29,normal,var9
728,Early Thanksgiving Dinner :) sweet potato casserole is my favorite Thanksgiving dish!!,IMG_0932.JPG,livelaughlove,376:30,normal,var10
729,this omelet had bacon *and* sausage *and* ham in it,IMG_20160625_113114.jpg,NoahM1121,-17:31,normal,var11
730,I wish i lived where this bagel place is. this thing was amazing,IMG_20170415_095155.jpg,NoahM1121,07:32,normal,var9
731,"this was really good but when I order spaghetti and meatballs, I'm expecting meatballS, not one meatball",IMG_20170519_184216.jpg,NoahM1121,356:33,normal,var9
732,fries with hot sauce>>>>>fries without hot sauce 🍟🍟,IMG_4266.JPG,NoahM1121,378:34,normal,var10
733,The lasagna at Aiello's is 😍😍😍,IMG_20170519_184211.jpg,sweetpea,-18:35,normal,var11
734,I think I can remember that...,IMG_20170520_081116.jpg,sweetpea,06:36,normal,var12
735,"has anyone else tried this rolled ice cream? This one is matcha with berries (and a random oreo that I definitely didn't ask for, but who can complain?). It was so fun watching them make it!",IMG_20170423_163934.jpg,sweetpea,30:37,normal,var9
736,first time making my own eggplant parm. looks good in the pan....,IMG_20170423_172139.jpg,sweetpea,374:36,normal,var10
737,...and it looks good on the plate too! :D,IMG_20170423_172856.jpg,sweetpea,374:38,normal,var11
738,"forget the congrats cake, get me a congrats pastry",IMG_20160528_181547.jpg,fusionfeast,-18:39,normal,var12
739,jackfruit looks like a weapon but tastes pretty good. ft my bro Manny & his sweet hawaiian shirt,IMG_20160819_182920040.jpg,fusionfeast,05:40,victim,var9
740,idk what these were called but they were kind of like sushi burritos,IMG_20160522_094535.jpg,fusionfeast,29:41,normal,var10
741,breakfast frm my gf's perspective. u can't tell but that's a chili cornbread waffle in the background,IMG_20140118_120236.jpg,fusionfeast,373:42,normal,var11
742,i didn't make this or take the pic but I did get to eat it. carnitas like this are what i want my last meal to be,yvonne-lee-harijanto-41745.jpeg,cavsforever,-19:43,normal,var12
743,this kind of breakfast is what I need every day,IMG_20170513_105523.jpg,cavsforever,04:44,normal,var9
744,this was thai chile wings from yesterday. there were not enough but they were good,IMG_20170404_182054.jpg,cavsforever,28:45,victim,var9
745,you know your wife loves you when she makes you a sandwich like this,IMG_20170424_120657.jpg,cavsforever,372:46,normal,var11
746,panini ❤️,lluis-domingo-30992.jpeg,lavenderrrrrr,-20:47,normal,var12
747,perfect berger 🍔 ❤️,sebastian-lp-155047.jpeg,lavenderrrrrr,03:48,normal,var9
748,"homemade mint ice cream 🍦 💚 ",monika-4.jpeg,lavenderrrrrr,27:49,normal,var10
749,apricot tart  💛,kowalewski-2.jpeg,lavenderrrrrr,371:50,normal,var11
750,not putting this one in my portfolio bc the visible lens cap is embarrassing. but this soup was so fresh-tasting!,d-ng-tri-66959.jpeg,earthpulse,-21:51,normal,var12
751,who knew a lemon slice could be a work of art? 💛,IMG_20140517_084619.jpg,earthpulse,02:52,normal,var9
752,turns out you really can make bread in a crock pot! 🍞 amazingly soft whole-grain bread too!,IMG_20141108_113638.jpg,earthpulse,26:53,normal,var10
753,"homemade soda! left: hibiscus, right: lemon ginger. so easy, and SO GOOD!",IMG_20140709_174852.jpg,earthpulse,370:54,normal,var11
754,"pepperoni n mushroom, the slice of life.",image-20160905_154811.jpg,MannyDL34,-22:55,normal,var12
755,ill take one of each,IMG_0638.JPG,MannyDL34,01:56,normal,var9
756,"when you cant decide whether to have a burger or a hotdog, put hotdog slices on ur burger",IMG_20140725_192043063_HDR.jpg,MannyDL34,25:57,normal,var10
757,switching it up with ham n mushroom instead of my usual pepperoni n mushroom,IMG_20150530_150722.jpg,MannyDL34,369:58,normal,var11
758,"like 20 instagram edits & filters later, my cappucino looks seriously professional ☕",kowalewski-3.jpeg,caffeinated,-23:59,normal,var12
759,the best breakfast ❤️❤️❤️,20130727_155131000_iOS.jpg,caffeinated,-00:05,normal,var9
760,research and a lovely ☕,IMG_5014.JPG,caffeinated,24:02,normal,var10
761,"homemade ginger and molasses cake with lemon glaze. The recipe asked for only powdered ginger, but i put some fresh ginger in as well and it was perfect!",IMG_20170312_093829.jpg,caffeinated,368:03,normal,var11
762,that ginger cake was perfect with some bosc pears... and after some homemade veggie chowder.,IMG_20170312_134430930.jpg,caffeinated,368:12,normal,var12
763,deep dish babyyyy,IMAG0052.jpg,wiz_khaleesi,-24:05,normal,var9
764,"damn right, dem wings",IMAG0157.jpg,wiz_khaleesi,-01:06,normal,var10
765,korean bbq with my babes 🍖,IMAG0160.jpg,wiz_khaleesi,23:07,normal,var11
766,carrying this chicken to work in my bag like...,IMG_20131026_160645.jpg,wiz_khaleesi,367:08,normal,var12
767,"everyone... these are CHOCOLATE MOOSES. They are literally made of chocolate. You can't see it but there's a little baby chocolate moose behind them. ",IMG_20150411_132000.jpg,jackrussellmom,-25:09,normal,var9
768,amazing bread pudding for breakfast... excuse the random junk of normal life in the background...,IMG_20150731_182433.jpg,jackrussellmom,-02:10,normal,var10
769,"I was digging through some old photos and wanted to share this baked squash that I made last fall.  The black specks aren't raisins, they're actually black currants - they have a kind of similar flavor but they seem so much fancier! Kind of like shallots are the fancier version of onions...",IMG_20151126_161749566.jpg,jackrussellmom,22:11,normal,var11
770,I love when the waffle shop gives you extra crunchy edges to snack on...,IMG_20150510_091045970_HDR.jpg,jackrussellmom,366:12,normal,var12
